Question,Answer
"Do you have a documented Information Security Policy that is regularly reviewed and updated?","Yes, our Information Security Policy (ISP) is documented, approved by senior management, and reviewed at least annually or when significant changes occur. The latest review was completed in January 2025."
"What security framework(s) and standards (e.g., ISO 27001, SOC 2, NIST CSF) do you adhere to? Please provide evidence of certification or compliance.","We are currently certified against SOC 2 Type II. Our latest report, covering the period of July 1, 2024 to December 31, 2024, can be provided upon request under NDA. We are also working towards ISO 27001 certification with an anticipated completion date in Q4 2025."
"How do you manage and classify the information you process on our behalf?","All information is classified according to its sensitivity (Confidential, Internal Use Only, Public). Classification labels are applied, and handling procedures are defined based on the classification level, including access controls, storage, and transmission methods."
"What technical controls (e.g., encryption, firewalls, intrusion detection/prevention systems) do you have in place to protect our data?","We utilize a multi-layered security approach including next-generation firewalls at network perimeters, intrusion detection and prevention systems (IDS/IPS) monitoring network traffic, and encryption (AES-256) for data at rest and in transit (TLS 1.3)."
"Describe your approach to access control, including user provisioning, de-provisioning, and the principle of least privilege.","Access is granted based on the principle of least privilege, with roles and responsibilities clearly defined. User provisioning and de-provisioning follow a formal process with approvals required. Regular access reviews are conducted quarterly to ensure appropriateness."
"How do you ensure the security of your development lifecycle (if applicable), including secure coding practices and vulnerability testing?","Our Software Development Lifecycle (SDLC) incorporates security at each stage, including security requirements definition, secure coding training for developers, static and dynamic application security testing (SAST/DAST) integrated into our CI/CD pipeline, and regular penetration testing of our applications."
"What measures do you have in place for business continuity and disaster recovery, including data backup and restoration procedures?","We have a documented Business Continuity Plan (BCP) and Disaster Recovery Plan (DRP) that are tested annually. Our data is backed up daily to an offsite, geographically separate location, and restoration procedures are regularly validated."
"How do you manage and respond to security incidents, including data breaches? Do you have a documented incident response plan?","We have a comprehensive Incident Response Plan (IRP) that outlines procedures for identification, containment, eradication, recovery, and post-incident analysis. Our team is trained on the IRP, and we conduct simulated incident response exercises annually."
"Describe your vulnerability management process, including how frequently you conduct vulnerability assessments and penetration testing.","We conduct monthly vulnerability scans of our infrastructure and applications. External penetration testing is performed at least annually by independent third-party security experts. Identified vulnerabilities are prioritized based on severity and remediated according to defined SLAs."
"How do you ensure the security of your network infrastructure?","Our network infrastructure is segmented using VLANs and access control lists (ACLs). Security hardening standards are applied to all network devices, and we maintain up-to-date patching and firmware levels. We also employ network monitoring tools for anomaly detection."
"Do you conduct security awareness training for your employees? How often?","Yes, all employees are required to complete security awareness training at least twice per year. The training covers topics such as phishing, password security, data handling, and incident reporting. We also conduct regular security awareness campaigns and simulated phishing exercises."
"How do you manage physical security to protect data and IT infrastructure?","Our facilities are protected by access control systems (e.g., key cards, biometric scanners), surveillance cameras, and environmental controls. Server rooms have restricted access, and visitor access is logged and monitored."
"What are your policies and procedures regarding the use of third-party services and sub-processors?","We have a Third-Party Risk Management policy that includes due diligence assessments of all third-party service providers and sub-processors, including security questionnaires, contract reviews, and ongoing monitoring."
"How do you ensure the security of data in transit and at rest? What encryption methods do you use?","Data in transit is secured using TLS 1.3 encryption for all network communications. Data at rest is encrypted using AES-256 encryption for databases, file systems, and backups."
"What are your data retention and disposal policies and procedures?","We have a documented Data Retention Policy that outlines the required retention periods for different types of data based on legal and business requirements. Data disposal is performed securely using methods such as cryptographic erasure or physical destruction."
"Do you have a process for monitoring and logging security-related events?","Yes, we have a centralized Security Information and Event Management (SIEM) system that collects and analyzes logs from various systems and security devices. We have established alerts and dashboards to monitor for suspicious activity and potential security incidents."
"How do you handle and comply with relevant data protection regulations (e.g., GDPR, local laws)?","We have implemented policies and procedures to comply with applicable data protection regulations, including data subject rights, data breach notification requirements, and cross-border data transfer mechanisms. Our legal team regularly reviews and updates our compliance practices."
"Can you provide details of any security incidents or data breaches you have experienced in the past 12-24 months?","We have experienced one minor security incident in the past 18 months involving a phishing attempt that was successfully contained by our security controls and did not result in any data breach or impact to client data. We have since enhanced our employee training and email filtering capabilities."
"How do you assess and manage the security risks associated with your own suppliers?","We conduct security assessments of our critical suppliers using a risk-based approach, including reviewing their security documentation, conducting questionnaires, and potentially performing audits. We also include security requirements in our supplier contracts."
"What is your process for ensuring the ongoing security of the services you provide to us, and how will you notify us of any significant security changes or risks?","We have a dedicated security team that continuously monitors our security posture, reviews and updates our security controls, and stays informed about emerging threats. We will notify you promptly of any significant security changes that may impact our services or any identified security risks that could affect your data."
"Do you have a formal process for managing and tracking security vulnerabilities identified in your systems and applications?","Yes, we utilize a vulnerability management platform to track identified vulnerabilities, assign remediation responsibilities, and monitor progress against defined SLAs based on severity."
"How do you manage and control changes to your IT infrastructure and applications to prevent security misconfigurations?","We have a formal Change Management process that requires documented change requests, risk assessments, approvals, testing, and backout plans before any changes are implemented in our production environment."
"What security considerations are integrated into your cloud service usage (if applicable)?","We adhere to security best practices for cloud environments, including strong identity and access management, encryption of data at rest and in transit, network segmentation using security groups, and regular security configuration reviews."
"How do you ensure the security of remote access to your network and systems?","Remote access is secured using multi-factor authentication (MFA) and VPN connections with strong encryption protocols. Access is granted on a need-to-know basis and regularly reviewed."
"What are your policies regarding the use of personal devices (BYOD) for accessing company resources?","Our BYOD policy outlines security requirements for personal devices accessing company resources, including mandatory device encryption, password protection, and the ability to remotely wipe devices if necessary."
"How do you handle the secure disposal of hardware containing sensitive data?","All hardware containing sensitive data is securely wiped using industry-standard data sanitization methods or physically destroyed before disposal. We maintain records of the disposal process."
"Do you have specific security requirements for your employees when working remotely?","Yes, our remote work policy includes guidelines on secure network connections, the use of VPNs, maintaining a secure work environment, and protecting sensitive information from unauthorized access."
"How do you manage the security of any APIs you expose or consume?","We implement security measures for our APIs, including authentication and authorization mechanisms (e.g., OAuth 2.0), input validation, rate limiting, and regular security testing."
